,player,span,Mat,Inns,Balls,Mdns,Runs,Wickets,Avg,SR,ecnomy,BBI,5,10,ST,CT,Country
87,Misbah-ul-Haq,2015-2015,7,-,0,-,-,-,-,-,-,-,-,-,-,3,Pakistan
88,Mohammad Irfan,2015-2015,5,5,246,3,186,8,23.25,30.7,4.53,4/30,-,-,-,-,Pakistan
89,Mohammad Nabi,2015-2015,6,6,274,-,261,3,87.00,91.3,5.71,1/38,-,-,-,3,Afghanistan
90,Mohammad Naveed,2015-2015,6,6,302,2,307,8,38.37,37.7,6.09,3/63,-,-,-,1,United Arab Emirates
91,Mohammad Tauqir,2015-2015,6,6,263,-,231,5,46.20,52.6,5.26,2/38,-,-,-,1,United Arab Emirates
92,Mominul Haque,2015-2015,2,-,0,-,-,-,-,-,-,-,-,-,-,-,Bangladesh
93,PL Mommsen,2015-2015,6,-,0,-,-,-,-,-,-,-,-,-,-,4,Scotland
94,JF Mooney,2015-2015,6,6,270,4,285,4,71.25,67.5,6.33,2/58,-,-,-,2,Ireland
95,EJG Morgan,2015-2015,6,-,0,-,-,-,-,-,-,-,-,-,-,5,England
96,T Mupariwa,2015-2015,3,3,168,1,153,1,153.00,168.0,5.46,1/36,-,-,-,1,Zimbabwe
97,Mushfiqur Rahim,2015-2015,6,-,0,-,-,-,-,-,-,-,-,-,1,7,Bangladesh
98,Najibullah Zadran,2015-2015,6,-,0,-,-,-,-,-,-,-,-,-,-,3,Afghanistan
99,Nasir Aziz,2015-2015,2,2,96,-,100,1,100.00,96.0,6.25,1/53,-,-,-,-,United Arab Emirates
100,Nasir Hossain,2015-2015,3,3,114,-,99,4,24.75,28.5,5.21,2/32,-,-,-,2,Bangladesh
101,Nasir Jamal,2015-2015,1,-,0,-,-,-,-,-,-,-,-,-,-,-,Afghanistan
102,Nasir Jamshed,2015-2015,3,-,0,-,-,-,-,-,-,-,-,-,-,1,Pakistan
103,Nawroz Mangal,2015-2015,6,1,6,-,14,1,14.00,6.0,14.00,1/14,-,-,-,3,Afghanistan
104,KJ O'Brien,2015-2015,6,6,299,-,408,6,68.00,49.8,8.18,2/61,-,-,-,3,Ireland
105,NJ O'Brien,2015-2015,6,-,0,-,-,-,-,-,-,-,-,-,-,2,Ireland
106,T Panyangara,2015-2015,6,6,334,4,392,5,78.40,66.8,7.04,2/53,-,-,-,1,Zimbabwe
107,WD Parnell,2015-2015,1,1,54,-,85,1,85.00,54.0,9.44,1/85,-,-,-,-,South Africa
108,SP Patil,2015-2015,6,-,0,-,-,-,-,-,-,-,-,-,-,4,United Arab Emirates
109,MDKJ Perera,2015-2015,2,-,0,-,-,-,-,-,-,-,-,-,-,-,Sri Lanka
110,NLTC Perera,2015-2015,6,6,249,-,280,6,46.66,41.5,6.74,2/87,-,-,-,5,Sri Lanka
111,WTS Porterfield,2015-2015,6,-,0,-,-,-,-,-,-,-,-,-,-,5,Ireland
112,S Prasanna,2015-2015,2,2,108,-,134,1,134.00,108.0,7.44,1/77,-,-,-,1,Sri Lanka
113,Rahat Ali,2015-2015,5,5,264,1,192,7,27.42,37.7,4.36,3/40,-,-,-,1,Pakistan
114,D Ramdin,2015-2015,7,-,0,-,-,-,-,-,-,-,-,-,-,13,West Indies
115,KAJ Roach,2015-2015,3,3,132,1,150,1,150.00,132.0,6.81,1/44,-,-,-,-,West Indies
116,Rohan Mustafa,2015-2015,4,3,72,-,76,-,-,-,6.33,-,-,-,-,3,United Arab Emirates
117,JE Root,2015-2015,6,4,54,-,56,1,56.00,54.0,6.22,1/27,-,-,-,7,England
118,Rubel Hossain,2015-2015,6,6,303,1,298,8,37.25,37.8,5.90,4/53,-,-,-,2,Bangladesh
119,AD Russell,2015-2015,7,7,324,5,343,11,31.18,29.4,6.35,3/33,-,-,-,2,West Indies
120,Sabbir Rahman,2015-2015,6,5,96,-,104,1,104.00,96.0,6.50,1/47,-,-,-,3,Bangladesh
