,player,Country,Runs,HS,Avg,SR
75,AF Buurman,Netherlands,26,26,13.0,81.25
76,Mohammad Hafeez,Pakistan,215,61*,30.71,81.13
77,IJL Trott,England,422,92,60.28,80.84
78,IR Bell,England,245,81,35.0,79.8
79,GH Dockrell,Ireland,42,19,14.0,79.24
80,BJ Haddin,Australia,332,88,55.33,78.85
81,T Taibu,Zimbabwe,189,98,31.5,77.77
82,AR Cusack,Ireland,80,47,20.0,76.92
83,NL McCullum,New Zealand,100,52,16.66,76.92
84,JM Davison,Canada,33,15,8.25,76.74
85,DS Smith,West Indies,300,107,42.85,76.72
86,NJ O'Brien,Ireland,205,57*,41.0,75.64
87,Mudassar Bukhari,Netherlands,68,24,13.6,75.55
88,BP Loots,Netherlands,6,6,3.0,75.0
89,LJ Wright,England,45,44,45.0,75.0
90,Kamran Akmal,Pakistan,207,55,34.5,74.46
91,MN van Wyk,South Africa,65,42,16.25,73.86
92,TT Samaraweera,Sri Lanka,110,34*,36.66,73.82
93,Misbah-ul-Haq,Pakistan,248,83*,49.6,73.8
94,JH Kallis,South Africa,225,69,32.14,72.81
95,RT Ponting,Australia,206,104,34.33,72.53
96,GA Lamb,Zimbabwe,62,18,15.5,72.09
97,NN Odhiambo,Kenya,56,44*,18.66,71.79
98,Junaid Siddique,Bangladesh,114,37,19.0,71.69
99,TM Odoyo,Kenya,102,51,20.4,71.32
100,E Chigumbura,Zimbabwe,96,38,19.2,71.11
101,Shakib Al Hasan,Bangladesh,142,55,23.66,71.0
102,Asad Shafiq,Pakistan,154,78*,77.0,70.96
103,DM Bravo,West Indies,139,73,23.16,70.91
104,Younis Khan,Pakistan,185,72,30.83,70.88
105,CO Obuya,Kenya,243,98*,48.6,70.02
106,LPC Silva,Sri Lanka,77,57,19.25,70.0
107,A Bagai,Canada,225,84,45.0,69.87
108,JD Ryder,New Zealand,184,83,36.8,69.43
109,AG Cremer,Zimbabwe,99,37,33.0,68.75
110,MJ Guptill,New Zealand,262,86*,43.66,68.58
111,HS Baidwan,Canada,54,17,18.0,68.35
112,Imrul Kayes,Bangladesh,188,73*,37.6,67.87
113,TLW Cooper,Netherlands,174,55*,34.8,67.18
114,TG Southee,New Zealand,14,8,4.66,66.66
115,WTS Porterfield,Ireland,180,75,30.0,66.66
116,EC Joyce,Ireland,176,84,29.33,66.66
117,BP Kruger,Netherlands,8,8,8.0,66.66
118,RS Bopara,England,141,60,35.25,66.5
119,T Mishra,Kenya,133,72,26.6,66.5
120,AA Obanda,Kenya,43,23,14.33,66.15
121,W Barresi,Netherlands,153,44,25.5,65.94
122,P Utseya,Zimbabwe,123,36,24.6,65.42
123,JF Mooney,Ireland,58,33*,14.5,64.44
124,AN Kervezee,Netherlands,81,18,13.5,64.28
125,RR Patel,Kenya,46,24,15.33,63.01
126,RW Price,Zimbabwe,37,11,18.5,62.71
127,B Lee,Australia,5,5,5.0,62.5
128,CL White,Australia,70,22*,17.5,61.94
129,GC Smith,South Africa,183,45,26.14,61.0
130,Raqibul Hasan,Bangladesh,70,38,23.33,60.34
131,Khurram Chohan,Canada,39,22,13.0,59.09
132,Shahriar Nafees,Bangladesh,42,37,21.0,58.33
133,Harbhajan Singh,India,18,12,4.5,58.06
134,Rubel Hossain,Bangladesh,11,8*,11.0,57.89
135,AS Hansra,Canada,215,70*,43.0,57.64
136,MH Yardy,England,19,13,6.33,57.57
137,DW Steyn,South Africa,28,20,14.0,57.14
138,TN de Grooth,Netherlands,50,28,10.0,56.81
139,RR Sarwan,West Indies,155,49,25.83,56.36
140,DC Thomas,West Indies,41,15,6.83,53.94
141,WD Balaji Rao,Canada,22,9,4.4,53.65
142,Naeem Islam,Bangladesh,40,29,8.0,53.33
143,Mushfiqur Rahim,Bangladesh,81,36,16.2,52.94
144,ES Szwarczynski,Netherlands,57,28,19.0,52.29
145,Shafiul Islam,Bangladesh,26,24*,6.5,52.0
146,SO Tikolo,Kenya,44,13,8.8,51.16
147,AC Botha,Ireland,22,22,11.0,51.16
148,S Chanderpaul,West Indies,114,44*,38.0,50.66
149,PP Chawla,India,2,2,2.0,50.0
150,CK Coventry,Zimbabwe,18,14,6.0,50.0
151,Imran Tahir,South Africa,1,1*,0.0,50.0
152,DO Obuya,Kenya,65,51,16.25,49.24
153,Mahmudullah,Bangladesh,32,21*,16.0,49.23
154,Ahmed Shehzad,Pakistan,44,13,8.8,48.35
155,Wahab Riaz,Pakistan,8,8,4.0,47.05
156,Abdur Rehman,Pakistan,6,5*,6.0,46.15
157,RW Chakabva,Zimbabwe,50,35,10.0,45.87
158,SJ Benn,West Indies,16,6,4.0,45.71
159,ZE Surkari,Canada,104,34,17.33,45.02
160,JC Tredwell,England,9,9,9.0,45.0
161,Mohammad Ashraful,Bangladesh,12,11,6.0,44.44
162,Abdur Razzak,Bangladesh,15,11,3.75,44.11
163,K Whatham,Canada,18,18,18.0,43.9
164,TG Gordon,Canada,23,9,5.75,43.39
165,CT Tremlett,England,3,3,3.0,42.85
166,R Gunasekera,Canada,53,24,10.6,42.74
167,SR Waters,Kenya,38,17,9.5,42.22
168,JO Ngoche,Kenya,10,9,10.0,41.66
169,AR White,Ireland,15,10,7.5,40.54
170,HMRKB Herath,Sri Lanka,4,4*,0.0,40.0
171,D Bishoo,West Indies,6,6*,6.0,40.0
172,CK Kapugedera,Sri Lanka,3,2,1.5,37.5
173,H Osinde,Canada,6,4,3.0,37.5
174,B Zuiderent,Netherlands,17,15,4.25,36.95
175,JJ Krejza,Australia,7,7,7.0,36.84
176,JM Anderson,England,4,2*,0.0,36.36
177,WB Rankin,Ireland,9,5*,9.0,36.0
178,KAJ Roach,West Indies,19,16,6.33,35.84
179,E Otieno,Kenya,13,8,3.25,35.13
180,JM How,New Zealand,26,22,13.0,34.21
181,MA Ouma,Kenya,22,16,4.4,33.84
182,JK Kamande,Kenya,27,22,6.75,33.75
183,MM Patel,India,1,1,0.5,33.33
184,T Panyangara,Zimbabwe,4,4*,4.0,30.76
185,CB Mpofu,Zimbabwe,6,3*,3.0,28.57
186,NR Kumar,Canada,10,7,3.33,24.39
187,M Morkel,South Africa,4,3,2.0,20.0
188,A Nehra,India,1,1,0.5,20.0
189,PM Seelaar,Netherlands,3,2*,1.0,17.64
190,R Rampaul,West Indies,1,1,0.5,11.11
191,Saeed Ajmal,Pakistan,1,1*,1.0,10.0
