,player,span,Mat,Inns,NO,Runs,HS,Avg,SR,100's,50's,0's,Country
51,Najibullah Zadran,2023-2023,2,2,0,7,5,3.50,33.33,-,-,-,Afghanistan
52,Nasum Ahmed,2023-2023,3,3,0,40,19,13.33,83.33,-,-,-,Bangladesh
53,Naveen-ul-Haq,2023-2023,8,5,1,16,9*,4.00,64.00,-,-,2,Afghanistan
54,Najmul Hossain Shanto,2023-2023,9,9,1,222,90,27.75,76.81,-,2,2,Bangladesh
55,JDS Neesham,2023-2023,3,2,0,58,58,29.00,123.40,-,1,1,New Zealand
56,L Ngidi,2023-2023,8,3,1,11,7*,5.50,26.82,-,-,1,South Africa
57,P Nissanka,2023-2023,9,9,1,332,77*,41.50,89.48,-,4,2,Sri Lanka
58,Noor Ahmad,2023-2023,4,1,0,26,26,26.00,81.25,-,-,-,Afghanistan
59,HH Pandya,2023-2023,4,1,1,11,11*,-,137.50,-,-,-,India
60,M Pathirana,2023-2023,2,2,1,6,5,6.00,31.57,-,-,-,Sri Lanka
61,MDKJ Perera,2023-2023,7,7,0,149,78,21.28,101.36,-,2,1,Sri Lanka
62,AL Phehlukwayo,2023-2023,1,1,1,39,39*,-,105.40,-,-,-,South Africa
63,Rahmanullah Gurbaz,2023-2023,9,9,0,280,80,31.11,98.93,-,2,1,Afghanistan
64,Rahmat Shah,2023-2023,9,9,1,320,77*,40.00,76.37,-,3,-,Afghanistan
65,CAK Rajitha,2023-2023,6,4,0,52,33,13.00,91.22,-,-,1,Sri Lanka
66,AU Rashid,2023-2023,9,9,3,92,20,15.33,101.09,-,-,-,England
67,Rashid Khan,2023-2023,9,6,1,105,35*,21.00,94.59,-,-,-,Afghanistan
68,JE Root,2023-2023,9,9,0,276,82,30.66,88.46,-,3,1,England
69,S Samarawickrama,2023-2023,9,9,2,373,108,53.28,102.19,1,2,1,Sri Lanka
70,Saqib Zulfiqar,2023-2023,2,2,0,13,10,6.50,39.39,-,-,-,Netherlands
71,Saud Shakeel,2023-2023,9,7,0,241,68,34.42,97.96,-,2,-,Pakistan
72,Shadab Khan,2023-2023,6,5,0,121,43,24.20,100.83,-,-,-,Pakistan
73,Shaheen Shah Afridi,2023-2023,9,6,3,55,25,18.33,91.66,-,-,-,Pakistan
74,MD Shanaka,2023-2023,2,2,0,80,68,40.00,100.00,-,1,-,Sri Lanka
75,Shakib Al Hasan,2023-2023,7,7,0,186,82,26.57,82.30,-,1,-,Bangladesh
76,Shariz Ahmad,2023-2023,1,1,0,6,6,6.00,75.00,-,-,-,Netherlands
77,Shoriful Islam,2023-2023,8,6,5,28,12,28.00,100.00,-,-,-,Bangladesh
78,IS Sodhi,2023-2023,1,-,0,-,-,-,0.00,-,-,-,New Zealand
79,MP Stoinis,2023-2023,6,5,1,87,35,21.75,112.98,-,-,-,Australia
80,BA Stokes,2023-2023,6,6,0,304,108,50.66,89.14,1,2,1,England
81,Tanzid Hasan,2023-2023,9,9,0,145,51,16.11,95.39,-,1,1,Bangladesh
82,Tanzim Hasan Sakib,2023-2023,1,1,1,5,5*,-,83.33,-,-,-,Bangladesh
83,Taskin Ahmed,2023-2023,7,5,1,49,17,12.25,52.68,-,-,-,Bangladesh
84,SN Thakur,2023-2023,3,-,0,-,-,-,0.00,-,-,-,India
85,M Theekshana,2023-2023,8,6,2,100,38*,25.00,54.05,-,-,2,Sri Lanka
86,RJW Topley,2023-2023,3,2,2,16,15*,-,177.77,-,-,-,England
87,Towhid Hridoy,2023-2023,7,6,1,164,74,32.80,78.09,-,1,-,Bangladesh
88,Usama Mir,2023-2023,4,1,0,-,0,0.00,0.00,-,-,1,Pakistan
89,Vikramjit Singh,2023-2023,6,6,0,98,52,16.33,65.33,-,1,-,Netherlands
90,DN Wellalage,2023-2023,3,3,0,12,10,4.00,66.66,-,-,1,Sri Lanka
91,DJ Willey,2023-2023,6,6,2,78,16*,19.50,116.41,-,-,-,England
92,LB Williams,2023-2023,1,-,0,-,-,-,0.00,-,-,-,South Africa
93,CR Woakes,2023-2023,8,8,1,131,51,18.71,84.51,-,1,1,England
94,MA Wood,2023-2023,7,7,4,85,43*,28.33,130.76,-,-,1,England
95,WA Young,2023-2023,6,6,0,206,70,34.33,83.73,-,2,1,New Zealand
96,CN Ackermann,2023-2023,9,9,0,216,69,24.00,82.12,-,1,1,Netherlands
97,W Barresi,2023-2023,4,4,0,83,41,20.75,74.10,-,-,-,Netherlands
98,T Bavuma,2023-2023,8,8,0,145,35,18.12,73.60,-,-,1,South Africa
99,TA Boult,2023-2023,10,4,3,21,10*,21.00,84.00,-,-,-,New Zealand
100,JJ Bumrah,2023-2023,11,3,1,18,16,9.00,62.06,-,-,-,India
101,MS Chapman,2023-2023,8,6,1,84,39,16.80,118.30,-,-,-,New Zealand
102,G Coetzee,2023-2023,8,4,0,54,22,13.50,69.23,-,-,-,South Africa
103,DP Conway,2023-2023,10,10,1,372,152*,41.33,101.63,1,-,1,New Zealand
104,PJ Cummins,2023-2023,11,8,4,128,37,32.00,68.81,-,-,-,Australia
105,Q de Kock,2023-2023,10,10,0,594,174,59.40,107.02,4,-,-,South Africa
106,BFW de Leede,2023-2023,9,9,0,139,67,15.44,69.84,-,1,-,Netherlands
107,A Dutt,2023-2023,9,9,3,70,23*,11.66,80.45,-,-,-,Netherlands
108,SA Edwards,2023-2023,9,9,2,259,78*,37.00,86.91,-,2,2,Netherlands
109,SA Engelbrecht,2023-2023,8,8,0,300,70,37.50,66.66,-,2,-,Netherlands
110,LH Ferguson,2023-2023,7,3,1,7,6,3.50,77.77,-,-,-,New Zealand
111,JR Hazlewood,2023-2023,11,5,3,4,2,2.00,80.00,-,-,1,Australia
112,TM Head,2023-2023,6,6,0,329,137,54.83,127.51,2,1,1,Australia
113,JP Inglis,2023-2023,10,8,0,159,58,19.87,94.64,-,1,1,Australia
114,SS Iyer,2023-2023,11,11,3,530,128*,66.25,113.24,2,3,1,India
115,RA Jadeja,2023-2023,11,5,2,120,39*,40.00,101.69,-,-,-,India
116,M Jansen,2023-2023,9,8,3,157,75*,31.40,110.56,-,1,1,South Africa
117,H Klaasen,2023-2023,10,10,1,373,109,41.44,133.21,1,1,-,South Africa
118,V Kohli,2023-2023,11,11,3,765,117,95.62,90.31,3,6,1,India
119,Kuldeep Yadav,2023-2023,11,2,1,19,10,19.00,61.29,-,-,-,India
120,M Labuschagne,2023-2023,11,10,1,362,71,40.22,70.70,-,3,-,Australia
121,TWM Latham,2023-2023,10,8,2,155,68,25.83,91.17,-,2,1,New Zealand
122,KA Maharaj,2023-2023,10,6,3,59,40,19.66,73.75,-,-,-,South Africa
123,AK Markram,2023-2023,10,10,1,406,106,45.11,110.92,1,3,-,South Africa
124,MR Marsh,2023-2023,10,10,1,441,177*,49.00,107.56,2,1,2,Australia
125,GJ Maxwell,2023-2023,9,9,3,400,201*,66.66,150.37,2,-,1,Australia
126,DA Miller,2023-2023,10,10,2,356,101,44.50,107.87,1,1,-,South Africa
127,DJ Mitchell,2023-2023,10,9,1,552,134,69.00,111.06,2,2,-,New Zealand
128,Mohammed Shami,2023-2023,7,4,1,10,6,3.33,50.00,-,-,-,India
129,Mohammed Siraj,2023-2023,11,1,1,9,9*,-,112.50,-,-,-,India
130,AT Nidamanuru,2023-2023,7,7,1,164,54,27.33,98.20,-,1,-,Netherlands
131,MP O'Dowd,2023-2023,9,9,0,138,42,15.33,69.00,-,-,1,Netherlands
132,GD Phillips,2023-2023,10,9,2,285,71,40.71,111.76,-,2,-,New Zealand
133,K Rabada,2023-2023,9,4,1,25,10,8.33,55.55,-,-,-,South Africa
134,KL Rahul,2023-2023,11,10,4,452,102,75.33,90.76,1,2,-,India
135,R Ravindra,2023-2023,10,10,1,578,123*,64.22,106.44,3,2,-,New Zealand
136,MJ Santner,2023-2023,10,7,3,103,36*,25.75,127.16,-,-,-,New Zealand
137,T Shamsi,2023-2023,4,3,3,9,4*,-,60.00,-,-,-,South Africa
138,RG Sharma,2023-2023,11,11,0,597,131,54.27,125.94,1,3,1,India
139,Shubman Gill,2023-2023,9,9,1,354,92,44.25,106.94,-,4,-,India
140,SPD Smith,2023-2023,10,10,1,302,71,33.55,80.96,-,2,1,Australia
141,TG Southee,2023-2023,4,2,0,16,9,8.00,76.19,-,-,-,New Zealand
142,MA Starc,2023-2023,10,8,1,87,28,12.42,57.61,-,-,1,Australia
143,LV van Beek,2023-2023,8,8,2,140,59,23.33,78.21,-,1,1,Netherlands
144,HE van der Dussen,2023-2023,10,10,1,448,133,49.77,84.52,2,2,-,South Africa
145,RE van der Merwe,2023-2023,8,8,0,68,29,8.50,80.00,-,-,2,Netherlands
146,PA van Meekeren,2023-2023,9,8,2,26,7,4.33,48.14,-,-,2,Netherlands
147,DA Warner,2023-2023,11,11,0,535,163,48.63,108.29,2,2,-,Australia
148,KS Williamson,2023-2023,4,4,1,256,95,85.33,93.43,-,3,-,New Zealand
149,SA Yadav,2023-2023,7,7,1,106,49,17.66,100.95,-,-,-,India
150,A Zampa,2023-2023,11,6,3,48,29,16.00,80.00,-,-,1,Australia
